sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[1630s] threads: 112, tps: 534.50, reads: 7485.62, writes: 1604.30, response time: 516.35ms (95%), errors: 0.00, reconnects:  0.00
[1640s] threads: 112, tps: 1579.60, reads: 22054.85, writes: 4719.59, response time: 54.46ms (95%), errors: 0.00, reconnects:  0.00
[1650s] threads: 112, tps: 3452.01, reads: 48330.21, writes: 10355.42, response time: 55.40ms (95%), errors: 0.00, reconnects:  0.00
[1660s] threads: 112, tps: 3507.10, reads: 49093.71, writes: 10521.70, response time: 54.66ms (95%), errors: 0.00, reconnects:  0.00
[1670s] threads: 112, tps: 1991.80, reads: 27940.80, writes: 5991.80, response time: 304.25ms (95%), errors: 0.00, reconnects:  0.00
[1680s] threads: 112, tps: 1146.60, reads: 16059.66, writes: 3442.59, response time: 423.28ms (95%), errors: 0.00, reconnects:  0.00
[1690s] threads: 112, tps: 1721.70, reads: 24043.76, writes: 5145.71, response time: 406.64ms (95%), errors: 0.00, reconnects:  0.00
[1700s] threads: 112, tps: 1527.39, reads: 21443.20, writes: 4601.58, response time: 421.89ms (95%), errors: 0.00, reconnects:  0.00
[1710s] threads: 112, tps: 437.60, reads: 6127.01, writes: 1313.00, response time: 939.05ms (95%), errors: 0.00, reconnects:  0.00
[1720s] threads: 112, tps: 3016.51, reads: 42175.08, writes: 9028.92, response time: 57.55ms (95%), errors: 0.00, reconnects:  0.00
[1730s] threads: 112, tps: 3494.50, reads: 48926.24, writes: 10484.31, response time: 54.99ms (95%), errors: 0.00, reconnects:  0.00
[1740s] threads: 112, tps: 2784.20, reads: 38992.48, writes: 8355.90, response time: 64.35ms (95%), errors: 0.00, reconnects:  0.00
[1750s] threads: 112, tps: 1304.00, reads: 18283.29, writes: 3925.30, response time: 413.51ms (95%), errors: 0.00, reconnects:  0.00
[1760s] threads: 112, tps: 1109.00, reads: 15512.51, writes: 3320.00, response time: 439.55ms (95%), errors: 0.00, reconnects:  0.00
[1770s] threads: 112, tps: 2100.49, reads: 29429.78, writes: 6310.27, response time: 243.95ms (95%), errors: 0.00, reconnects:  0.00
[1780s] threads: 112, tps: 613.60, reads: 8589.20, writes: 1841.40, response time: 987.48ms (95%), errors: 0.00, reconnects:  0.00
[1790s] threads: 112, tps: 2241.90, reads: 31338.85, writes: 6708.11, response time: 58.93ms (95%), errors: 0.00, reconnects:  0.00
[1800s] threads: 112, tps: 2964.51, reads: 41502.51, writes: 8892.92, response time: 58.09ms (95%), errors: 0.00, reconnects:  0.00
OLTP test statistics:
    queries performed:
        read:                            72502808
        write:                           15536316
        other:                           5178772
        total:                           93217896
    transactions:                        5178772 (2877.05 per sec.)
    read/write requests:                 88039124 (48909.90 per sec.)
    other operations:                    5178772 (2877.05 per sec.)
    ignored errors:                      0      (0.00 per sec.)
    reconnects:                          0      (0.00 per sec.)

General statistics:
    total time:                          1800.0268s
    total number of events:              5178772
    total time taken by event execution: 201595.3957s
    response time:
         min:                                  3.09ms
         avg:                                 38.93ms
         max:                              25091.10ms
         approx.  95 percentile:              51.59ms

Threads fairness:
    events (avg/stddev):           46239.0357/124.29
    execution time (avg/stddev):   1799.9589/0.01

