sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[1590s] threads: 112, tps: 3174.91, reads: 44444.01, writes: 9524.12, response time: 52.91ms (95%), errors: 0.00, reconnects:  0.00
[1600s] threads: 112, tps: 4944.19, reads: 69230.63, writes: 14833.76, response time: 37.52ms (95%), errors: 0.00, reconnects:  0.00
[1610s] threads: 112, tps: 4967.09, reads: 69541.45, writes: 14911.87, response time: 37.03ms (95%), errors: 0.00, reconnects:  0.00
[1620s] threads: 112, tps: 1361.50, reads: 19108.26, writes: 4092.11, response time: 493.24ms (95%), errors: 0.00, reconnects:  0.00
[1630s] threads: 112, tps: 1180.80, reads: 16524.72, writes: 3539.20, response time: 601.52ms (95%), errors: 0.00, reconnects:  0.00
[1640s] threads: 112, tps: 3092.40, reads: 43296.47, writes: 9279.59, response time: 59.87ms (95%), errors: 0.00, reconnects:  0.00
[1650s] threads: 112, tps: 4870.10, reads: 68124.33, writes: 14592.11, response time: 37.94ms (95%), errors: 0.00, reconnects:  0.00
[1660s] threads: 112, tps: 4523.09, reads: 63376.38, writes: 13585.87, response time: 41.21ms (95%), errors: 0.00, reconnects:  0.00
[1670s] threads: 112, tps: 1134.50, reads: 15885.43, writes: 3404.31, response time: 557.81ms (95%), errors: 0.00, reconnects:  0.00
[1680s] threads: 112, tps: 1749.00, reads: 24490.44, writes: 5248.39, response time: 382.43ms (95%), errors: 0.00, reconnects:  0.00
[1690s] threads: 112, tps: 3015.21, reads: 42213.83, writes: 9045.63, response time: 56.47ms (95%), errors: 0.00, reconnects:  0.00
[1700s] threads: 112, tps: 1397.00, reads: 19557.95, writes: 4191.19, response time: 352.32ms (95%), errors: 0.00, reconnects:  0.00
[1710s] threads: 112, tps: 4349.32, reads: 60846.16, writes: 13030.15, response time: 41.22ms (95%), errors: 0.00, reconnects:  0.00
[1720s] threads: 112, tps: 3856.48, reads: 53977.65, writes: 11567.05, response time: 51.95ms (95%), errors: 0.00, reconnects:  0.00
[1730s] threads: 112, tps: 3795.51, reads: 53182.17, writes: 11400.74, response time: 47.19ms (95%), errors: 0.00, reconnects:  0.00
[1740s] threads: 112, tps: 1191.50, reads: 16692.76, writes: 3580.29, response time: 504.14ms (95%), errors: 0.00, reconnects:  0.00
[1750s] threads: 112, tps: 1246.20, reads: 17448.16, writes: 3738.79, response time: 549.85ms (95%), errors: 0.00, reconnects:  0.00
[1760s] threads: 112, tps: 2341.11, reads: 32744.00, writes: 7012.72, response time: 170.23ms (95%), errors: 0.00, reconnects:  0.00
[1770s] threads: 112, tps: 1962.41, reads: 27454.38, writes: 5879.92, response time: 233.86ms (95%), errors: 0.00, reconnects:  0.00
[1780s] threads: 112, tps: 4430.40, reads: 62017.61, writes: 13290.80, response time: 42.39ms (95%), errors: 0.00, reconnects:  0.00
[1790s] threads: 112, tps: 4147.80, reads: 58069.80, writes: 12443.10, response time: 46.89ms (95%), errors: 0.00, reconnects:  0.00
[1800s] threads: 112, tps: 3914.29, reads: 54806.53, writes: 11742.26, response time: 50.45ms (95%), errors: 0.00, reconnects:  0.00
OLTP test statistics:
    queries performed:
        read:                            80662022
        write:                           17284719
        other:                           5761573
        total:                           103708314
    transactions:                        5761573 (3200.83 per sec.)
    read/write requests:                 97946741 (54414.11 per sec.)
    other operations:                    5761573 (3200.83 per sec.)
    ignored errors:                      0      (0.00 per sec.)
    reconnects:                          0      (0.00 per sec.)

General statistics:
    total time:                          1800.0248s
    total number of events:              5761573
    total time taken by event execution: 201594.2369s
    response time:
         min:                                  3.17ms
         avg:                                 34.99ms
         max:                              11198.86ms
         approx.  95 percentile:              51.45ms

Threads fairness:
    events (avg/stddev):           51442.6161/126.88
    execution time (avg/stddev):   1799.9485/0.01

