sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[1030s] threads: 112, tps: 1093.78, reads: 15309.23, writes: 3281.34, response time: 193.15ms (95%), errors: 0.00, reconnects:  0.00
[1040s] threads: 112, tps: 1090.62, reads: 15284.79, writes: 3272.86, response time: 182.80ms (95%), errors: 0.00, reconnects:  0.00
[1050s] threads: 112, tps: 1043.58, reads: 14597.74, writes: 3128.94, response time: 195.12ms (95%), errors: 0.00, reconnects:  0.00
[1060s] threads: 112, tps: 1113.12, reads: 15583.10, writes: 3339.56, response time: 187.23ms (95%), errors: 0.00, reconnects:  0.00
[1070s] threads: 112, tps: 1074.38, reads: 15046.96, writes: 3225.15, response time: 193.90ms (95%), errors: 0.00, reconnects:  0.00
[1080s] threads: 112, tps: 1130.02, reads: 15810.37, writes: 3387.86, response time: 169.47ms (95%), errors: 0.00, reconnects:  0.00
[1090s] threads: 112, tps: 1108.08, reads: 15513.88, writes: 3323.85, response time: 190.34ms (95%), errors: 0.00, reconnects:  0.00
[1100s] threads: 112, tps: 1122.02, reads: 15714.83, writes: 3367.45, response time: 185.28ms (95%), errors: 0.00, reconnects:  0.00
[1110s] threads: 112, tps: 1117.69, reads: 15649.60, writes: 3352.06, response time: 171.76ms (95%), errors: 0.00, reconnects:  0.00
[1120s] threads: 112, tps: 1136.72, reads: 15907.64, writes: 3411.35, response time: 181.76ms (95%), errors: 0.00, reconnects:  0.00
[1130s] threads: 112, tps: 1104.99, reads: 15474.71, writes: 3316.26, response time: 174.35ms (95%), errors: 0.00, reconnects:  0.00
[1140s] threads: 112, tps: 1106.81, reads: 15501.48, writes: 3319.74, response time: 178.21ms (95%), errors: 0.00, reconnects:  0.00
[1150s] threads: 112, tps: 1066.89, reads: 14926.38, writes: 3199.27, response time: 189.82ms (95%), errors: 0.00, reconnects:  0.00
[1160s] threads: 112, tps: 1082.21, reads: 15152.61, writes: 3246.42, response time: 183.13ms (95%), errors: 0.00, reconnects:  0.00
[1170s] threads: 112, tps: 1061.99, reads: 14875.89, writes: 3186.58, response time: 203.66ms (95%), errors: 0.00, reconnects:  0.00
[1180s] threads: 112, tps: 1119.91, reads: 15667.25, writes: 3358.93, response time: 172.38ms (95%), errors: 0.00, reconnects:  0.00
[1190s] threads: 112, tps: 1137.09, reads: 15923.78, writes: 3412.87, response time: 173.31ms (95%), errors: 0.00, reconnects:  0.00
[1200s] threads: 112, tps: 1126.71, reads: 15780.45, writes: 3380.13, response time: 179.60ms (95%), errors: 0.00, reconnects:  0.00
[1210s] threads: 112, tps: 1098.39, reads: 15367.58, writes: 3293.77, response time: 191.65ms (95%), errors: 0.00, reconnects:  0.00
[1220s] threads: 112, tps: 1120.41, reads: 15689.72, writes: 3361.42, response time: 186.78ms (95%), errors: 0.00, reconnects:  0.00
[1230s] threads: 112, tps: 1008.59, reads: 14125.12, writes: 3027.98, response time: 208.78ms (95%), errors: 0.00, reconnects:  0.00
[1240s] threads: 112, tps: 937.41, reads: 13116.08, writes: 2810.62, response time: 197.42ms (95%), errors: 0.00, reconnects:  0.00
[1250s] threads: 112, tps: 1001.29, reads: 14016.62, writes: 3003.08, response time: 158.43ms (95%), errors: 0.00, reconnects:  0.00
[1260s] threads: 112, tps: 1153.91, reads: 16165.34, writes: 3462.93, response time: 152.11ms (95%), errors: 0.00, reconnects:  0.00
[1270s] threads: 112, tps: 1313.69, reads: 18381.17, writes: 3940.27, response time: 129.52ms (95%), errors: 0.00, reconnects:  0.00
[1280s] threads: 112, tps: 1292.11, reads: 18090.10, writes: 3876.52, response time: 131.47ms (95%), errors: 0.00, reconnects:  0.00
[1290s] threads: 112, tps: 1189.70, reads: 16665.75, writes: 3569.49, response time: 161.59ms (95%), errors: 0.00, reconnects:  0.00
[1300s] threads: 112, tps: 1184.50, reads: 16583.36, writes: 3552.91, response time: 158.95ms (95%), errors: 0.00, reconnects:  0.00
[1310s] threads: 112, tps: 1083.40, reads: 15154.98, writes: 3249.20, response time: 176.24ms (95%), errors: 0.00, reconnects:  0.00
[1320s] threads: 112, tps: 1031.30, reads: 14452.92, writes: 3096.20, response time: 169.82ms (95%), errors: 0.00, reconnects:  0.00
[1330s] threads: 112, tps: 1198.50, reads: 16766.22, writes: 3594.80, response time: 146.00ms (95%), errors: 0.00, reconnects:  0.00
[1340s] threads: 112, tps: 1226.70, reads: 17176.12, writes: 3680.51, response time: 139.25ms (95%), errors: 0.00, reconnects:  0.00
[1350s] threads: 112, tps: 1200.10, reads: 16796.35, writes: 3598.89, response time: 149.09ms (95%), errors: 0.00, reconnects:  0.00
[1360s] threads: 112, tps: 1217.70, reads: 17051.73, writes: 3655.11, response time: 145.95ms (95%), errors: 0.00, reconnects:  0.00
[1370s] threads: 112, tps: 1230.20, reads: 17229.81, writes: 3689.40, response time: 141.61ms (95%), errors: 0.00, reconnects:  0.00
